"title","tomatometer","audience_score","sentiment","num_reviews","url"
"Tracker | Rotten Tomatoes","85%","54%","0.0015322168668111165","6","https://www.rottentomatoes.com/m/tracker"
"Holy Rollers | Rotten Tomatoes","52%","33%","-0.1557430699467659","20","https://www.rottentomatoes.com/m/holy_rollers"
"MacGruber | Rotten Tomatoes","47%","36%","-0.25880571206410724","20","https://www.rottentomatoes.com/m/macgruber"
"Kites: The Remix | Rotten Tomatoes","70%","53%","0.23780480027198792","20","https://www.rottentomatoes.com/m/kites_the_remix"
"Your Lucky Day | Rotten Tomatoes","90%","55%","0.40692804257074994","6","https://www.rottentomatoes.com/m/your_lucky_day"
"The 7 Adventures of Sinbad | Rotten Tomatoes","N/A","6%","N/A","0","https://www.rottentomatoes.com/m/7_adventures_of_sinbad"
"The Front | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_front"
"The Front | Rotten Tomatoes","68%","73%","-0.6591389278570811","6","https://www.rottentomatoes.com/m/front"
"Sex and the City 2 | Rotten Tomatoes","16%","43%","-0.5775465667247772","20","https://www.rottentomatoes.com/m/sex_and_the_city_2"
"The Special Relationship | Rotten Tomatoes","83%","63%","0.6740988627076149","13","https://www.rottentomatoes.com/m/the_special_relationship"
"Venus | Rotten Tomatoes","88%","74%","0.2468311389287313","20","https://www.rottentomatoes.com/m/venus"
"The In-Between | Rotten Tomatoes","100%","78%","N/A","0","https://www.rottentomatoes.com/m/the_in_between"
"Animal Kingdom | Rotten Tomatoes","94%","83%","0.6516735454400381","20","https://www.rottentomatoes.com/m/animal_kingdom"
"Pulse | Rotten Tomatoes","11%","27%","-0.74225003272295","20","https://www.rottentomatoes.com/m/pulse"
"Clueless | Rotten Tomatoes","82%","76%","0.371304286022981","20","https://www.rottentomatoes.com/m/clueless"
"Marmaduke | Rotten Tomatoes","9%","42%","-0.22306550542513529","20","https://www.rottentomatoes.com/m/marmaduke"
"Killers | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/killers"
"Bear | Rotten Tomatoes","N/A","31%","N/A","0","https://www.rottentomatoes.com/m/bear"
"Truce | Rotten Tomatoes","N/A","71%","0.9995493292808533","1","https://www.rottentomatoes.com/m/truce"
"The Karate Kid | Rotten Tomatoes","81%","83%","0.42574356496334076","20","https://www.rottentomatoes.com/m/karate_kid"
"The Lottery | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_lottery"
"The Lottery | Rotten Tomatoes","N/A","46%","N/A","0","https://www.rottentomatoes.com/m/lottery"
"The Confession | Rotten Tomatoes","N/A","92%","N/A","0","https://www.rottentomatoes.com/m/the_confession"
"Coach | Rotten Tomatoes","N/A","0%","N/A","0","https://www.rottentomatoes.com/m/coach"
"Knight and Day | Rotten Tomatoes","51%","49%","0.09414731214443843","20","https://www.rottentomatoes.com/m/knight_and_day"
"The Illusionist | Rotten Tomatoes","90%","79%","0.4805908426642418","20","https://www.rottentomatoes.com/m/the_illusionist"
"The Illusionist | Rotten Tomatoes","74%","83%","0.5004517535368601","20","https://www.rottentomatoes.com/m/illusionist"
"Stonewall Uprising | Rotten Tomatoes","84%","77%","0.7448237496945592","19","https://www.rottentomatoes.com/m/stonewall_uprising"
"Toy Story 3 | Rotten Tomatoes","98%","90%","0.6802878901362419","20","https://www.rottentomatoes.com/m/toy_story_3"
"Lou | Rotten Tomatoes","N/A","56%","N/A","0","https://www.rottentomatoes.com/m/lou"
"Wild Target | Rotten Tomatoes","32%","56%","-0.48858237514893216","20","https://www.rottentomatoes.com/m/wild_target"
"I Spit on Your Grave | Rotten Tomatoes","51%","40%","-0.9991306662559509","2","https://www.rottentomatoes.com/m/i_spit_on_your_grave"
"Cyrus | Rotten Tomatoes","80%","53%","0.42339319735765457","20","https://www.rottentomatoes.com/m/cyrus"
"Monsters | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/monsters"
"Jonah Hex | Rotten Tomatoes","11%","20%","-0.659182625512282","20","https://www.rottentomatoes.com/m/jonah_hex"
"Drop Dead Gorgeous | Rotten Tomatoes","47%","75%","-0.2500804712375005","20","https://www.rottentomatoes.com/m/drop_dead_gorgeous"
"Thirst | Rotten Tomatoes","N/A","21%","N/A","0","https://www.rottentomatoes.com/m/thirst"
"The Twilight Saga: Eclipse | Rotten Tomatoes","46%","60%","-0.0807818944255511","20","https://www.rottentomatoes.com/m/the_twilight_saga_eclipse"
"The Twilight Saga: Eclipse | Rotten Tomatoes","46%","60%","-0.0807818944255511","20","https://www.rottentomatoes.com/m/twilight_saga_eclipse"
"The Matchmaker | Rotten Tomatoes","N/A","22%","N/A","0","https://www.rottentomatoes.com/m/the_matchmaker"
"Magic | Rotten Tomatoes","87%","65%","-0.3338295618693034","3","https://www.rottentomatoes.com/m/magic"
"Grown Ups | Rotten Tomatoes","10%","62%","-0.41354115804036456","20","https://www.rottentomatoes.com/m/grown_ups"
"Restrepo | Rotten Tomatoes","97%","88%","0.5924004316329956","20","https://www.rottentomatoes.com/m/restrepo"
"You Don't Know Jack | Rotten Tomatoes","83%","83%","0.4857174903154373","20","https://www.rottentomatoes.com/m/you_dont_know_jack"
"Love Ranch | Rotten Tomatoes","12%","28%","-0.8103127777576447","20","https://www.rottentomatoes.com/m/love_ranch"
"The Last Airbender | Rotten Tomatoes","5%","30%","-0.9960621645053228","20","https://www.rottentomatoes.com/m/last_airbender"
"Black Sheep | Rotten Tomatoes","71%","53%","0.08011022210121155","20","https://www.rottentomatoes.com/m/black_sheep"
"The Perfect Host | Rotten Tomatoes","44%","55%","-0.23247531801462173","20","https://www.rottentomatoes.com/m/the_perfect_host"
"Alpha and Omega | Rotten Tomatoes","20%","41%","-0.6334094032645226","20","https://www.rottentomatoes.com/m/alpha_and_omega"
"Carlos | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/carlos"
"My Son, My Son, What Have Ye Done | Rotten Tomatoes","51%","44%","-0.25603461762269336","17","https://www.rottentomatoes.com/m/my_son_my_son_what_have_ye_done"
"Despicable Me | Rotten Tomatoes","80%","83%","0.5034313822786013","20","https://www.rottentomatoes.com/m/despicable_me"
"The Kids Are All Right | Rotten Tomatoes","93%","74%","0.9902842665712038","20","https://www.rottentomatoes.com/m/the_kids_are_all_right"
"Winnebago Man | Rotten Tomatoes","90%","80%","0.5909209052721659","20","https://www.rottentomatoes.com/m/winnebago_man"
"Legend of the Guardians: The Owls of Ga'Hoole | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/legend_of_the_guardians_the_owls_of_gahoole"
"The Sorcerer's Apprentice | Rotten Tomatoes","40%","53%","0.08649869511524837","20","https://www.rottentomatoes.com/m/sorcerers_apprentice"
"Tamara Drewe (2010) | Rotten Tomatoes","64%","42%","0.33598163227240246","18","https://www.rottentomatoes.com/m/tamara_drewe"
"Inception | Rotten Tomatoes","87%","91%","0.5804123108585676","20","https://www.rottentomatoes.com/m/inception"
"The Secret World of Arrietty | Rotten Tomatoes","94%","86%","0.917043462395668","20","https://www.rottentomatoes.com/m/the_secret_world_of_arrietty"
"The Affair | Rotten Tomatoes","N/A","N/A%","N/A","0","https://www.rottentomatoes.com/m/the_affair"
